name,country_parent,total,dems,repubs,year
Headwaters Inc,Australia/Boral Ltd,"$8,000","$1,000","$7,000",2000
Heineken USA,Netherlands/L'Arche Green NV,"$14,000","$10,000","$4,000",2000
Herbalife Nutrition,UK/Herbalife Ltd,"$43,000","$23,500","$19,500",2000
Holcim US (LafargeHolcim),Switzerland/LaFargeHolcim,"$18,000","$14,500","$3,500",2000
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$66,000","$39,500","$26,500",2000
HSBC North America (HSBC Holdings),UK/HSBC Holdings,$0,$0,$0,2000
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$14,500","$7,000","$7,500",2000
IBI Group Engineering Services,Canada/IBI Group,$150,$0,$150,2000
IDEMIA Identity & Security (IDEMIA),France/IDEMIA,"$16,000",$0,"$16,000",2000
IGT Global Solutions,Italy/B&D Holding Di Marco Drago e C Sapa,"$15,400","$15,400",$0,2000
Infineon Technologies,Germany/Infineon Technologies AG,"$13,500","$9,500","$4,000",2000
Intelsat Holdings (Serafina SA),Luxembourg/Serafina SA,"$5,000","$2,500","$2,500",2000
Intergraph Corp,Sweden/Hexagon AB,"$2,900",$0,"$2,900",2000
Ipsen Biopharmaceuticals,France/Ipsen SA,$0,$0,$0,2000
ITG Brands (Imperial Brands),UK/Imperial Brands,"$5,500","$1,000","$4,500",2000
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$54,000","$23,500","$30,500",2000
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$56,500","$35,500","$21,000",2000
JBS USA,Brazil/JBS SA,"$2,500","$1,000","$1,500",2000
John Hancock Life Insurance,Canada/Manulife Financial,"$51,500","$34,500","$17,000",2000
